no	pattern_name	attributes	algorithm	id	plus_month_rate	plus_days_rate	description	bettype	bet_kumiban	pattern	ranktype	waku	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt	avg_hitamt	dev_hitamt	max_hitamt	total_month	total_days
8	turn+raceno	entry	bayes	b_e_turn+racen	0.57	0.36	0011	3F	123	2_4	norm3f_123	132	58	21	5800	9780	3980	0.36	1.69	7	13	6	456	284	1430	21	56
8	turn+raceno	entry	bayes	b_e_turn+racen	0.71	0.30	0011	3F	123	7_9	norm3f_12	12	148	42	14800	20080	5280	0.28	1.36	20	27	7	467	292	1560	24	136
8	turn+raceno	entry	bayes	b_e_turn+racen	0.33	0.19	0011	3T	143	5_10	norm3t_0	0	21	4	2100	8300	6200	0.19	3.95	2	11	9	2075	184	2340	12	21
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.32	0012	3F	123	7_7	norm3f_12	13	66	21	6600	8700	2100	0.32	1.32	9	11	2	394	159	730	24	65
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.21	0012	3F	136	7_3	norm3f_12	13	284	48	28400	35150	6750	0.17	1.24	38	48	10	722	444	2110	24	218
9	turn+racetype	entry	bayes	b_e_turn+racet	0.63	0.22	0012	3T	123	7_4	norm3t_0	0	374	61	37400	42890	5490	0.16	1.15	51	58	7	684	261	1520	24	269
9	turn+racetype	entry	bayes	b_e_turn+racet	0.35	0.13	0012	3T	125	1_2	norm3t_0	0	97	11	9700	22070	12370	0.11	2.28	13	30	17	2006	1107	4480	23	83
9	turn+racetype	entry	bayes	b_e_turn+racet	0.68	0.57	0012	2T	1=	3_5	form2t2_23	32	98	29	9800	14100	4300	0.30	1.44	13	19	6	480	302	1390	22	42
9	turn+racetype	entry	bayes	b_e_turn+racet	0.65	0.49	0012	2T	1=	5_6	form2t2_23	43	104	25	10400	13960	3560	0.24	1.34	14	19	5	535	252	1370	23	49
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.18	0012	3F	126	4_else	norm3f_12	12	105	16	10500	16510	6010	0.15	1.57	14	22	8	984	505	1940	24	91
9	turn+racetype	entry	bayes	b_e_turn+racet	0.46	0.13	0012	3T	126	4_else	norm3t_0	0	105	12	10500	22110	11610	0.11	2.11	14	30	16	1772	838	3570	24	91
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.55	0012	1T	1	1_1	norm1t_23	45	208	117	20800	22660	1860	0.56	1.09	28	31	3	195	87	610	24	166
9	turn+racetype	entry	bayes	b_e_turn+racet	0.63	0.56	0012	1T	1	3_1	norm1t_23	22	313	185	31300	35060	3760	0.59	1.12	42	48	6	194	125	1230	24	226
9	turn+racetype	entry	bayes	b_e_turn+racet	0.54	0.59	0012	1T	1	3_1	norm1t_23	33	266	154	26600	29320	2720	0.58	1.10	36	40	4	191	113	720	24	198
9	turn+racetype	entry	bayes	b_e_turn+racet	0.70	0.56	0012	1T	1	3_1	norm1t_23	41	42	24	4200	5190	990	0.57	1.24	5	7	2	216	97	390	20	39
9	turn+racetype	entry	bayes	b_e_turn+racet	0.71	0.56	0012	1T	1	4_1	norm1t_23	23	371	220	37100	42000	4900	0.59	1.13	50	57	7	188	127	1350	24	241
9	turn+racetype	entry	bayes	b_e_turn+racet	0.71	0.64	0012	1T	1	4_1	norm1t_23	44	134	88	13400	18410	5010	0.66	1.37	18	25	7	206	152	930	24	121
9	turn+racetype	entry	bayes	b_e_turn+racet	0.86	0.89	0012	1T	2	4_1	norm1t_23	65	9	8	900	3720	2820	0.89	4.13	1	5	4	454	272	1050	7	9
9	turn+racetype	entry	bayes	b_e_turn+racet	0.68	0.59	0012	1T	3	1_1	norm1t_23	34	36	20	3600	5700	2100	0.56	1.58	4	7	3	285	143	740	19	34
9	turn+racetype	entry	bayes	b_e_turn+racet	0.57	0.33	0012	2T	13	3_2	norm2t_3	4	76	24	7600	11190	3590	0.32	1.47	10	15	5	455	235	1180	23	70
9	turn+racetype	entry	bayes	b_e_turn+racet	0.35	0.28	0012	2T	21	2_1	norm2t_3	1	38	10	3800	9530	5730	0.26	2.51	5	13	8	953	382	1670	20	36
9	turn+racetype	entry	bayes	b_e_turn+racet	0.80	0.71	0012	3F	123	2_5	norm3f_12	21	7	5	700	2280	1580	0.71	3.26	0	3	3	456	100	560	5	7
9	turn+racetype	entry	bayes	b_e_turn+racet	0.80	0.71	0012	3F	123	2_5	norm3f_123	213	7	5	700	2280	1580	0.71	3.26	0	3	3	456	100	560	5	7
9	turn+racetype	entry	bayes	b_e_turn+racet	0.37	0.34	0012	3F	123	3_4	norm3f_12	13	51	17	5100	6650	1550	0.33	1.30	6	9	3	386	114	590	19	50
9	turn+racetype	entry	bayes	b_e_turn+racet	0.37	0.34	0012	3F	123	3_4	norm3f_123	132	51	17	5100	6650	1550	0.33	1.30	6	9	3	386	114	590	19	50
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.32	0012	3F	123	7_7	norm3f_123	132	66	21	6600	8700	2100	0.32	1.32	9	11	2	394	159	730	24	65
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.18	0012	3F	126	4_else	norm3f_123	126	105	16	10500	16510	6010	0.15	1.57	14	22	8	984	505	1940	24	91
9	turn+racetype	entry	bayes	b_e_turn+racet	0.50	0.21	0012	3F	136	7_3	norm3f_123	136	284	48	28400	35150	6750	0.17	1.24	38	48	10	722	444	2110	24	218
